ID,victim,gang,date,Victim Country,Victim sectors,NumberN/AofN/Aemployees,Sales,Ransom Currency,Ransom Paid
22504.0,Workers Informatica Ltda,killsec,2025-04-01,Brazil,Services,,,,
22503.0,Testima Engineering,killsec,2025-04-01,USA,Construction,<25,<$5M,,
22502.0,Brella,killsec,2025-04-01,USA,Technology,56,$6M,,
22501.0,Fancy Films,killsec,2025-04-01,Australia,Media,<25,<$5M,,
22500.0,Lendco,killsec,2025-04-01,UK,Finance,26,<$5M,,
22499.0,Nydegger + Finger AG,killsec,2025-04-01,Switzerland,Retail,<25,<$5M,,
22498.0,Dorel Home,killsec,2025-04-01,Canada,Industrial,2940,$7.7M,,
22497.0,Hexicor,killsec,2025-04-01,Australia,Unknown,,,,
22496.0,AAPG,killsec,2025-04-01,USA,Public,237,$19.3M,,
22495.0,Hanna Global Solutions,killsec,2025-04-01,USA,Finance,<25,$25M,,
22494.0,Flagship Press Flagship Press,killsec,2025-04-01,USA,Services,112,$27M,,
22493.0,attorneykohm.com,VanHelsing,2025-03-31,USA,Legal,,,,
22492.0,alertenterprise.com,VanHelsing,2025-03-31,USA,Technology,250,$46.6M,,
22491.0,intellioan.com,ransomhub,2025-04-01,USA,Finance,98,$22.3M,,
22490.0,delta-life.com,ransomhub,2025-03-31,USA,Finance,20000,$18.7B,,
22489.0,jackpotjunction.com,ransomhub,2025-04-01,USA,Entertainment,471,$60.7M,,
22488.0,europtec.com,ransomhub,2025-03-31,Switzerland,Industrial,342,$37.2M,,
22487.0,stattorney.org,kairos,2025-03-31,USA,Legal,257,$9M,,
22486.0,Industrial Dynamics,dragonforce,2025-03-31,USA,Legal,<25,$12.9M,,
22485.0,Southern Avionics,dragonforce,2025-03-31,USA,Transportation,<25,$5M,,
22484.0,Talley Metal Fabrication,dragonforce,2025-03-31,USA,Industrial,<25,<$5M,,
22483.0,Atlanta Plastic & Reconstructive Specialists,dragonforce,2025-03-31,USA,Healthcare,90,$14.4M,,
22482.0,Regency Outdoor Advertising,akira,2025-03-31,USA,Media,26,<$5M,,
22481.0,Valens Bank/Pay/Exchange,weyhro,2025-03-31,Canada,Finance,<25,<$5M,,
22480.0,goosehead.com,chaos,2025-03-31,USA,Finance,1580,$283.6M,,
22479.0,Pak Technologies,chaos,2025-03-31,USA,Industrial,74,$21.1M,,
22478.0,Evans Distribution Systems,chaos,2025-03-31,USA,Transportation,566,$94.1M,,
22477.0,Transcore,chaos,2025-03-31,USA,Technology,2000,$420M,,
22474.0,Lee & Sakahara Architects,killsec,2025-03-31,USA,Construction,<25,$11.8M,,
22473.0,Kyocera Document Solutions Europe,killsec,2025-03-31,Netherlands,Industrial,339,$154M,,
22472.0,Design Design,killsec,2025-03-31,USA,Media,90,$21M,,
22471.0,CMC Technology Group,bianlian,2025-03-31,UK,Technology,29,$11M,,
22470.0,Meridian Senior,bianlian,2025-03-31,USA,Healthcare,1649,$242.1M,,
22469.0,Saunders and Saunders,bianlian,2025-03-31,USA,Legal,<25,<$5M,,
22468.0,Sonrisas Dental Health,bianlian,2025-03-31,USA,Healthcare,32,<$5M,,
22467.0,Hartmann Stanyak BÃ¼rosysteme,akira,2025-03-31,Germany,Unknown,,,,
22466.0,Groupe Sinari,qilin,2025-03-31,France,Unknown,,,,
22465.0,Virserius Studio,akira,2025-03-31,USA,Construction,<25,<$5M,,
22464.0,REPROHAUS Corp,akira,2025-03-31,USA,Services,83,$12.5M,,
22463.0,Bunger Steel,qilin,2025-03-31,USA,Construction,92,$47.7M,,
22462.0,Ste Group Key Corp,akira,2025-03-31,Spain,Industrial,231,<$5M,,
22459.0,Ihara company,ralord,2025-03-31,Japan,Industrial,26,$5M,,
22455.0,Zuni Data,crazyhunter,2025-03-30,Taiwan,Unknown,,,,
22454.0,Analog Integrations Corporation,crazyhunter,2025-03-30,Taiwan,Technology,24000,$10.5B,,
